Person ID,First name,Last name,Party,Constituency,URI
10001,Diane,Abbott,Labour,Hackney North and Stoke Newington,http://www.theyworkforyou.com/mp/diane_abbott/hackney_north_and_stoke_newington
25034,Debbie,Abrahams,Labour,Oldham East and Saddleworth,http://www.theyworkforyou.com/mp/debbie_abrahams/oldham_east_and_saddleworth
24878,Nigel,Adams,Conservative,Selby and Ainsty,http://www.theyworkforyou.com/mp/nigel_adams/selby_and_ainsty
11929,Adam,Afriyie,Conservative,Windsor,http://www.theyworkforyou.com/mp/adam_afriyie/windsor
10005,Bob,Ainsworth,Labour,Coventry North East,http://www.theyworkforyou.com/mp/bob_ainsworth/coventry_north_east
24904,Peter,Aldous,Conservative,Waveney,http://www.theyworkforyou.com/mp/peter_aldous/waveney
11995,Danny,Alexander,Liberal Democrat,"Inverness, Nairn, Badenoch and Strathspey",http://www.theyworkforyou.com/mp/danny_alexander/inverness%2C_nairn%2C_badenoch_and_strathspey
10661,Douglas,Alexander,Labour,Paisley and Renfrewshire South,http://www.theyworkforyou.com/mp/douglas_alexander/paisley_and_renfrewshire_south
24953,Heidi,Alexander,Labour,Lewisham East,http://www.theyworkforyou.com/mp/heidi_alexander/lewisham_east
24958,Rushanara,Ali,Labour,Bethnal Green and Bow,http://www.theyworkforyou.com/mp/rushanara_ali/bethnal_green_and_bow
10008,Graham,Allen,Labour,Nottingham North,http://www.theyworkforyou.com/mp/graham_allen/nottingham_north
10009,David,Amess,Conservative,Southend West,http://www.theyworkforyou.com/mp/david_amess/southend_west
11427,David,Anderson,Labour,Blaydon,http://www.theyworkforyou.com/mp/david_anderson/blaydon
24864,Stuart,Andrew,Conservative,Pudsey,http://www.theyworkforyou.com/mp/stuart_andrew/pudsey
10013,James,Arbuthnot,Conservative,North East Hampshire,http://www.theyworkforyou.com/mp/james_arbuthnot/north_east_hampshire
11553,Ian,Austin,Labour,Dudley North,http://www.theyworkforyou.com/mp/ian_austin/dudley_north
10707,Richard,Bacon,Conservative,South Norfolk,http://www.theyworkforyou.com/mp/richard_bacon/south_norfolk
24833,Louise,Bagshawe,Conservative,Corby,http://www.theyworkforyou.com/mp/louise_bagshawe/corby
10683,Adrian,Bailey,Labour,West Bromwich West,http://www.theyworkforyou.com/mp/adrian_bailey/west_bromwich_west
24697,William,Bain,Labour,Glasgow North East,http://www.theyworkforyou.com/mp/william_bain/glasgow_north_east
10022,Norman,Baker,Liberal Democrat,Lewes,http://www.theyworkforyou.com/mp/norman_baker/lewes
24786,Steven,Baker,Conservative,Wycombe,http://www.theyworkforyou.com/mp/steven_baker/wycombe
10023,Tony,Baldry,Conservative,Banbury,http://www.theyworkforyou.com/mp/tony_baldry/banbury
24785,Harriett,Baldwin,Conservative,West Worcestershire,http://www.theyworkforyou.com/mp/harriett_baldwin/west_worcestershire
11740,Edward,Balls,Labour,Morley and Outwood,http://www.theyworkforyou.com/mp/edward_balls/morley_and_outwood
12005,Gordon,Banks,Labour,Ochil and South Perthshire,http://www.theyworkforyou.com/mp/gordon_banks/ochil_and_south_perthshire
